No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
6428.0,20356,19859,23,20,-497,1030,854,121,0,8,0.00357809583074051,0.0031113876789047915,0.16023646546359677,0.1328562538892346,0.0,0.020068450528935907,3
6429.0,20359,19859,23,20,-500,1031,854,121,0,8,0.0035775392751594337,0.0031109037175299425,0.16036708663866853,0.13283558873852855,0.0,0.02006532897806813,3
6430.0,20362,19867,23,20,-495,1031,854,121,0,8,0.0035769828926905133,0.003110419906687403,0.1603421461897356,0.1328149300155521,0.0,0.02006220839813375,3
6431.0,20365,19867,23,20,-498,1031,854,121,0,8,0.0035764266832529934,0.0031099362463069507,0.1603172134971233,0.13279427771730679,0.0,0.020059088788679832,3
6432.0,20368,19867,23,20,-501,1031,854,121,0,8,0.0035758706467661694,0.003109452736318408,0.16029228855721392,0.13277363184079602,0.0,0.02005597014925373,3
6433.0,20371,19867,23,20,-504,1031,854,121,0,8,0.003575314783149386,0.00310896937665164,0.16026737136639205,0.13275299238302501,0.0,0.02005285247940308,3
6434.0,20374,19867,23,20,-507,1031,854,121,0,8,0.003574759092322039,0.003108486167236556,0.16024246192104444,0.13273235934100094,0.0,0.020049735778675786,3
6435.0,20377,19867,23,20,-510,1031,854,121,0,8,0.003574203574203574,0.003108003108003108,0.16021756021756023,0.1327117327117327,0.0,0.020046620046620046,3
6436.0,20380,19867,23,20,-513,1031,854,121,0,8,0.0035736482287134865,0.003107520198881293,0.16019266625233064,0.1326911124922312,0.0,0.020043505282784337,3
6437.0,20383,19867,23,20,-516,1032,854,121,0,8,0.003573093055771322,0.0031070374398011495,0.1603231318937393,0.13267049867950909,0.0,0.020040391486717414,3
6438.0,20386,19875,23,20,-511,1032,855,121,0,8,0.003572538055296676,0.0031065548306927616,0.1602982292637465,0.13280521901211556,0.0,0.020037278657968314,3
6439.0,20389,19878,23,20,-511,1032,855,121,0,8,0.003571983227209194,0.0031060723714862555,0.1602733343686908,0.13278459388103742,0.0,0.02003416679608635,3
6440.0,20392,19878,23,20,-514,1032,855,121,0,8,0.0035714285714285713,0.003105590062111801,0.16024844720496895,0.1327639751552795,0.0,0.02003105590062112,3
6441.0,20395,19878,23,20,-517,1032,855,121,0,8,0.0035708740878745535,0.0031051079024996117,0.16022356776897997,0.13274336283185842,0.0,0.020027945971122497,3
6442.0,20398,19878,23,20,-520,1032,855,122,0,8,0.0035703197764669356,0.003104625892579944,0.1601986960571251,0.13272275690779262,0.0,0.020180068301769636,3
6443.0,20401,19880,23,20,-521,1033,855,122,0,8,0.0035697656371255627,0.0031041440322830977,0.160329039267422,0.13270215738010244,0.0,0.020176936209840138,3
6444.0,20404,19888,23,20,-516,1033,855,122,0,8,0.003569211669770329,0.0031036623215394167,0.16030415890751087,0.13268156424581007,0.0,0.020173805090006207,3
6445.0,20407,19888,23,20,-519,1033,855,122,0,8,0.003568657874321179,0.0031031807602792862,0.16027928626842514,0.13266097750193948,0.0,0.02017067494181536,3
6446.0,20410,19888,23,20,-522,1033,855,122,0,8,0.0035681042506981076,0.003102699348433137,0.16025442134657153,0.1326403971455166,0.0,0.02016754576481539,3
6447.0,20413,19888,23,20,-525,1033,856,122,0,8,0.0035675507988211573,0.003102218085931441,0.16022956413835893,0.13277493407786567,0.0,0.020164417558554366,3
6448.0,20416,19891,23,20,-525,1034,856,122,0,8,0.0035669975186104217,0.003101736972704715,0.16035980148883375,0.1327543424317618,0.0,0.020161290322580645,3
6449.0,20419,19899,23,20,-520,1034,856,122,0,8,0.0035664444099860445,0.0031012560086835167,0.16033493564893783,0.13273375717165453,0.0,0.02015816405644286,3
6450.0,20422,19899,23,20,-523,1035,856,122,0,8,0.003565891472868217,0.0031007751937984496,0.16046511627906976,0.13271317829457363,0.0,0.020155038759689922,3
6451.0,20425,19907,23,20,-518,1036,856,122,0,8,0.0035653387071771818,0.0031002945279801583,0.16059525654937218,0.13269260579755077,0.0,0.02015191443187103,3
6452.0,20428,19915,23,20,-513,1036,856,122,0,8,0.00356478611283323,0.0030998140111593306,0.1605703657780533,0.13267203967761934,0.0,0.020148791072535647,3
6453.0,20431,19915,23,20,-516,1036,856,122,0,8,0.0035642336897567023,0.003099333643266698,0.16054548272121494,0.13265147993181467,0.0,0.020145668681233533,3
6454.0,20434,19915,23,20,-519,1036,856,122,0,8,0.003563681437867989,0.0030988534242330336,0.16052060737527116,0.13263092655717384,0.0,0.020142547257514718,3
6455.0,20437,19915,23,20,-522,1036,857,122,0,8,0.003563129357087529,0.003098373353989156,0.16049573973663828,0.13276529821843533,0.0,0.020139426800929512,3
6456.0,20440,19918,23,20,-522,1036,858,122,0,8,0.0035625774473358116,0.0030978934324659233,0.16047087980173483,0.13289962825278812,0.0,0.0201363073110285,3
6457.0,20443,19921,23,20,-522,1037,858,122,0,8,0.0035620257085333747,0.003097413659594239,0.1606008982499613,0.13287904599659284,0.0,0.020133188787362553,3
6458.0,20446,19929,23,20,-517,1037,859,122,0,8,0.003561474140600805,0.003096934035305048,0.16057602973056673,0.1330133168163518,0.0,0.02013007122948281,3
6459.0,20449,19932,23,20,-517,1037,859,122,0,8,0.0035609227434587397,0.003096454559529339,0.1605511689115962,0.1329927233317851,0.0,0.020126954636940704,3
6460.0,20452,19932,23,20,-520,1037,859,122,0,8,0.0035603715170278638,0.0030959752321981426,0.16052631578947368,0.1329721362229102,0.0,0.020123839009287926,3
6461.0,20455,19932,23,20,-523,1037,859,122,0,8,0.003559820461228912,0.003095496053242532,0.1605014703606253,0.13295155548676676,0.0,0.02012072434607646,3
6462.0,20458,19932,23,20,-526,1037,859,122,0,8,0.0035592695759826677,0.0030950170225936243,0.16047663262147943,0.13293098112039617,0.0,0.020117610646858557,3
6463.0,20461,19932,23,20,-529,1037,859,122,0,8,0.0035587188612099642,0.0030945381401825778,0.16045180256846667,0.1329104131208417,0.0,0.020114497911186757,3
6464.0,20464,19932,23,20,-532,1038,859,122,0,8,0.0035581683168316833,0.003094059405940594,0.16058168316831684,0.1328898514851485,0.0,0.020111386138613862,3
6465.0,20467,19940,23,20,-527,1038,860,122,0,8,0.003557617942768755,0.0030935808197989174,0.1605568445475638,0.13302397525135345,0.0,0.020108275328692964,3
6466.0,20470,19943,23,20,-527,1038,860,122,0,8,0.003557067738942159,0.003093102381688834,0.16053201360965047,0.13300340241261985,0.0,0.02010516548097742,3
6467.0,20473,19943,23,20,-530,1038,860,122,0,8,0.003556517705272924,0.003092624091541673,0.16050719035101282,0.13298283593629195,0.0,0.020102056595020876,3
6468.0,20476,19943,23,20,-533,1038,860,122,0,8,0.0035559678416821274,0.0030921459492888066,0.16048237476808905,0.13296227581941866,0.0,0.02009894867037724,3
6469.0,20479,19943,23,20,-536,1039,860,122,0,8,0.003555418148090895,0.003091667954861648,0.16061215025506262,0.13294172205905086,0.0,0.02009584170660071,3
6470.0,20482,19951,23,20,-531,1039,860,122,0,8,0.0035548686244204018,0.0030911901081916537,0.1605873261205564,0.13292117465224113,0.0,0.02009273570324575,3
6471.0,20485,19951,23,20,-534,1039,860,122,0,8,0.0035543192705918716,0.003090712409210323,0.16056250965847627,0.1329006335960439,0.0,0.0200896306598671,3
6472.0,20488,19951,23,20,-537,1039,860,123,0,8,0.003553770086526576,0.0030902348578491965,0.16053770086526575,0.13288009888751545,0.0,0.020241038318912236,3
6473.0,20491,19953,23,20,-538,1039,860,123,0,8,0.0035532210721458367,0.003089757454039858,0.16051289973737062,0.1328595705237139,0.0,0.02023791132396107,3
6474.0,20494,19953,23,20,-541,1039,860,123,0,8,0.0035526722273710224,0.0030892801977139327,0.1604881062712388,0.13283904850169911,0.0,0.02023478529502626,3
6475.0,20497,19953,23,20,-544,1040,860,123,0,8,0.003552123552123552,0.003088803088803089,0.16061776061776062,0.13281853281853281,0.0,0.02023166023166023,3
6476.0,20500,19961,23,20,-539,1040,860,123,0,8,0.003551575046324892,0.0030883261272390363,0.1605929586164299,0.13279802347127856,0.0,0.02022853613341569,3
6477.0,20503,19961,23,20,-542,1040,860,123,0,8,0.003551026709896557,0.003087849312953528,0.16056816427358345,0.1327775204570017,0.0,0.020225412999845607,3
6478.0,20506,19961,23,20,-545,1040,860,123,0,8,0.0035504785427601113,0.0030873726458783574,0.16054337758567458,0.13275702377276938,0.0,0.020222290830503243,3
6479.0,20509,19961,23,20,-548,1040,860,123,0,8,0.003549930544837166,0.0030868961259453618,0.16051859854915881,0.13273653341565056,0.0,0.02021916962494212,3
6480.0,20512,19961,23,20,-551,1040,860,123,0,8,0.0035493827160493828,0.0030864197530864196,0.16049382716049382,0.13271604938271606,0.0,0.02021604938271605,3
6481.0,20515,19961,23,20,-554,1040,860,123,0,8,0.003548835056318469,0.0030859435272334516,0.16046906341613948,0.13269557167103843,0.0,0.020212930103379108,3
6482.0,20518,19961,23,20,-557,1040,860,123,0,8,0.003548287565566183,0.0030854674483184203,0.16044430731255785,0.13267510027769208,0.0,0.020209811786485652,3
6483.0,20521,19961,23,20,-560,1040,860,123,0,8,0.0035477402437143297,0.00308499151627333,0.16041955884621317,0.1326546351997532,0.0,0.020206694431590313,3
6484.0,20524,19961,23,20,-563,1041,860,123,0,8,0.0035471930906847624,0.0030845157310302285,0.1605490438001234,0.1326341764342998,0.0,0.020203578038247995,3
6485.0,20527,19969,23,20,-558,1042,860,123,0,8,0.0035466461063993833,0.0030840400925212026,0.16067848882035465,0.13261372397841173,0.0,0.020200462606013877,3
6486.0,20530,19977,23,20,-553,1042,860,123,0,8,0.0035460992907801418,0.003083564600678384,0.1606537156953438,0.13259327782917052,0.0,0.020197348134443415,3
6487.0,20533,19977,23,20,-556,1042,860,123,0,8,0.0035455526437490367,0.0030830892554339446,0.16062895020810852,0.13257283798365962,0.0,0.02019423462309234,3
6488.0,20536,19977,23,20,-559,1043,860,123,0,8,0.0035450061652281136,0.0030826140567200987,0.16075832305795315,0.13255240443896424,0.0,0.020191122071516646,3
6489.0,20539,19985,23,20,-554,1043,860,123,0,8,0.003544459855139467,0.0030821390044691015,0.16073354908306364,0.13253197719217136,0.0,0.020188010479272614,3
6490.0,20542,19985,23,20,-557,1043,860,123,0,8,0.0035439137134052386,0.0030816640986132513,0.16070878274268105,0.1325115562403698,0.0,0.020184899845916794,3
6491.0,20545,19985,23,20,-560,1043,860,123,0,8,0.0035433677399476196,0.0030811893390848867,0.16068402403327683,0.13249114158065012,0.0,0.02018179017100601,3
6492.0,20548,19985,23,20,-563,1044,860,123,0,8,0.003542821934688848,0.0030807147258163892,0.16081330868761554,0.13247073321010475,0.0,0.02017868145409735,3
